KiCad_X_mm,KiCad_Y_mm,Nominal_pre_fill_bore_mm,Copper_land_mm,Net,UUID,Required_finish
60.6207,33.396,0.2,0.45,/PDM_CLK,3795fad2-7a36-4402-8c47-5fb4cc5db0e9,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
49.6241,21.9828,0.2,0.45,/PDM_CLK,9aa86126-574d-423e-b953-921ceb98f984,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
65.0585,33.2733,0.2,0.45,/PDM_DATA,8cd93f54-c36d-4f3c-8e1a-d42edec7d6a6,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
61.351,27.6964,0.2,0.45,/PDM_DATA,9c4b9214-c941-4ba5-8d3e-1d4db6655824,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
44.9,34.15,0.2,0.45,/RESET,5634e7f3-23d8-4e61-96e7-506b09d15eb9,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
37.525,33.1,0.2,0.45,/RESET,66bf87ee-9cdd-4265-972b-625bdaffbf9c,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
35.4,35.575,0.2,0.45,/RESET,a5213648-a773-4be1-b386-dc90816c4cd9,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
54.85,34.5,0.2,0.45,/RESET,bdecb2d9-0eee-49b0-9d19-a4790cf71467,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
43.825,36.05,0.2,0.45,/PMIC_INT,2b95db1f-96b1-4a26-a36f-0d9a562e3739,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
48.925,25.0,0.2,0.45,/PMIC_INT,31139815-e33b-498a-9381-8c9b6e152f05,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
39.1932,25.05,0.2,0.45,/PMIC_INT,706d137d-ff0c-4c5f-b972-eacddd7eb813,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
38.5,26.4,0.2,0.45,/PMIC_INT,89dbe858-3314-484d-9558-e117fba17813,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
42.45,29.25,0.2,0.45,/PMIC_INT,8e457fa1-04d6-4025-b280-8a5779b9a028,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
64.3918,31.85,0.2,0.45,/PMIC_INT,c36f1cfa-6a3b-438a-8dcb-46487790a87b,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
51.269,30.2735,0.2,0.45,/FLASH_SCK,2e80e78e-0630-4343-87a2-81e93dc265b8,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
62.8319,31.8856,0.2,0.45,/FLASH_SCK,ec82dc63-6a20-4a68-86c1-aabfcd786af6,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
51.4383,32.0933,0.2,0.45,/FLASH_IO0,68390ee0-a224-4f48-a94a-32059229eecf,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
62.8197,31.25,0.2,0.45,/FLASH_IO0,82e6e1f4-090d-44b1-8cbd-72110ec43b69,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
47.2813,27.7263,0.2,0.45,/FLASH_CS,3a9d5eb3-2c71-4e30-8de4-e252d52a4ac0,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
58.95,33.5,0.2,0.45,/FLASH_CS,4baa82c0-36ad-45c3-80d7-39418f702e85,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
57.1,34.65,0.2,0.45,/FLASH_CS,a59dab16-a216-4bdc-a78e-f1f95e04c708,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
